ICD10 Code,UCOD_Rec,UCOD_Ent,Contrib_Rec,Contrib_Ent,Match Type,Rule,Cause,RuleName,Occurrences
A073,32,18,23,55,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),128
A078,0,0,1,1,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),2
A079,0,0,1,1,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),2
A080,69,18,53,105,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),245
A081,404,111,387,687,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),1589
A082,3,2,13,14,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),32
A083,31,12,22,42,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),107
A084,2111,511,922,2538,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),6082
A085,12,4,14,23,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),53
A09,752,266,416,907,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),2341
A090,8173,4703,7549,10436,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),30861
A0901,0,0,1,0,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),1
A099,31216,4182,29585,57948,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),122931
A0991,0,0,3,0,hash,A00-A09,Other natural,A00-A09 (Intestinal infectious diseases),3
A162,5078,1264,3417,6868,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),16627
A1621,0,0,3,0,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),3
A163,1,0,5,6,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),12
A164,16,1,10,16,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),43
A165,74,12,55,92,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),233
A167,17,6,6,18,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),47
A168,2,1,1,0,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),4
A169,3542,1178,5708,9019,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),19447
A1690,0,0,0,1,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),1
A1691,0,0,4,0,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),4
A170,173,85,90,195,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),543
A178,65,35,48,73,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),221
A1781,0,0,1,0,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),1
A179,7,9,4,4,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),24
A180,1886,424,1462,2964,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),6736
A181,23,4,45,55,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),127
A182,11,2,26,36,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),75
A183,87,23,110,172,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),392
A184,1,0,13,14,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),28
A185,1,0,2,3,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),6
A187,6,1,2,4,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),13
A188,54,7,25,38,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),124
A190,4,1,2,5,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),12
A191,1,0,2,3,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),6
A192,6,3,0,3,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),12
A198,12,4,5,16,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),37
A199,928,455,348,977,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),2708
A1991,0,0,1,0,hash,A16-A19,Other natural,A16-A19 (Tuberculosis),1
A202,2,1,4,5,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),12
A207,11,11,3,3,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),28
A209,3,2,4,6,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),15
A210,0,0,1,1,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),2
A211,0,0,1,1,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),2
A212,4,1,0,2,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),7
A217,10,2,0,1,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),13
A218,0,0,1,2,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),3
A219,8,4,19,24,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),55
A220,0,0,2,2,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),4
A230,3,2,1,2,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),8
A239,11,4,19,29,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),63
A240,1,0,6,7,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),14
A241,3,0,0,0,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),3
A242,1,0,0,1,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),2
A244,3,0,8,12,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),23
A251,5,2,0,3,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),10
A259,1,0,2,3,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),6
A260,0,0,1,1,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),2
A267,3,1,1,1,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),6
A269,11,11,2,3,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),27
A270,2,1,0,1,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),4
A279,20,9,6,18,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),53
A280,510,158,144,505,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),1317
A281,7,0,9,16,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),32
A282,4,3,0,1,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),8
A288,75,11,46,111,hash,A20-A28,Other natural,A20-A28 (Certain zoonotic bacterial diseases),243
A300,1,1,0,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2
A301,0,0,1,1,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2
A305,1,1,3,3,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),8
A309,24,7,71,90,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),192
A310,5678,2480,6238,11173,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),25569
A311,1,2,10,9,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),22
A318,100,37,112,185,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),434
A319,1143,374,1459,2514,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),5490
A3191,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A320,0,0,1,1,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2
A321,390,233,135,283,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1041
A327,258,109,97,134,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),598
A328,26,7,13,28,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),74
A329,161,90,297,421,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),969
A33,0,0,2,2,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),4
A35,58,30,14,47,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),149
A363,0,0,1,1,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2
A368,0,0,1,1,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2
A369,4,1,11,14,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),30
A370,57,19,25,64,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),165
A371,5,4,7,8,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),24
A378,3,0,3,6,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),12
A379,192,53,56,202,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),503
A38,14,3,33,45,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),95
A390,364,185,60,248,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),857
A391,287,235,54,109,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),685
A3911,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A392,17,8,4,4,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),33
A393,0,1,0,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A394,703,398,118,444,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1663
A395,1,1,0,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2
A398,26,17,11,22,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),76
A399,44,23,30,62,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),159
A400,661,885,796,590,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2932
A4001,0,0,4,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),4
A401,571,635,746,692,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2644
A402,2184,3924,6377,4874,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),17359
A4021,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A403,2965,4478,4971,3654,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),16068
A4031,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A408,315,419,510,422,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1666
A409,3060,4677,5866,4507,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),18110
A4091,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A410,14396,23990,30958,22020,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),91364
A4101,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A411,279,408,643,538,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1868
A412,7426,11670,14634,10741,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),44471
A413,270,347,494,437,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1548
A414,2196,2904,3662,2878,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),11640
A415,20075,40627,55396,36210,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),152308
A4151,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A418,1421,2319,3574,2761,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),10075
A419,740902,1933477,2964653,1882961,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),7521993
A4191,0,0,110,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),110
A420,86,19,66,76,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),247
A421,7,1,10,12,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),30
A422,1,0,1,2,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),4
A427,35,10,11,11,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),67
A428,8,4,22,26,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),60
A429,41,32,194,242,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),509
A430,594,253,468,680,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1995
A431,10,2,11,14,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),37
A438,83,67,76,99,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),325
A439,341,234,576,895,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2046
A440,4,2,4,7,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),17
A441,0,1,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),2
A449,4,0,8,13,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),25
A46,28,8,56,76,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),168
A480,300,330,1207,1209,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),3046
A481,3136,1041,890,3035,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),8102
A482,5,0,1,8,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),14
A483,592,681,1025,944,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),3242
A4831,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A484,0,1,1,1,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),3
A488,247,53,174,369,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),843
A490,13265,15680,85130,83726,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),197801
A4901,0,0,7,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),7
A491,4588,4978,30742,30668,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),70976
A4911,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A492,206,150,635,698,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1689
A493,64,34,237,270,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),605
A498,4864,7379,54607,52689,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),119539
A4981,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A499,15505,21054,141601,144475,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),322635
A4991,0,0,1,0,hash,A30-A49,Other natural,A30-A49 (Other bacterial diseases),1
A500,0,0,1,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A501,0,0,1,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A502,4,1,6,10,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),21
A503,1,1,1,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),4
A504,3,1,4,5,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),13
A505,7,0,6,13,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),26
A506,1,0,0,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A507,0,0,1,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A509,62,18,79,127,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),286
A510,0,0,5,5,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),10
A512,0,0,5,5,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),10
A513,3,1,9,11,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),24
A514,1,2,5,8,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),16
A515,2,2,1,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),6
A519,0,0,2,2,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),4
A520,57,10,38,76,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),181
A521,146,22,474,596,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),1238
A523,440,175,617,1030,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2262
A527,13,2,9,18,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),42
A528,4,0,13,18,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),35
A529,65,17,95,160,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),337
A530,21,4,197,221,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),443
A539,74,31,583,740,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),1428
A540,1,1,1,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),4
A541,2,0,0,2,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),4
A542,1,1,2,3,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),7
A5421,0,0,1,0,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),1
A544,1,0,0,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A545,1,0,0,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A546,0,0,1,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A548,44,9,21,33,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),107
A5481,0,0,1,0,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),1
A549,10,4,20,49,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),83
A55,1,0,1,3,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),5
A560,3,0,5,8,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),16
A561,0,0,1,0,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),1
A563,0,0,1,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A568,0,0,1,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A57,2,0,5,7,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),14
A58,1,0,0,1,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),2
A590,0,0,3,3,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),6
A598,1,1,9,9,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),20
A599,3,0,18,21,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),42
A600,7,0,67,75,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),149
A601,2,0,3,6,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),11
A609,1,0,4,6,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),11
A630,29,14,88,124,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),255
A64,31,3,82,112,hash,A50-A64,Other natural,A50-A64 (Infections with a predominantly sexual mode of transmission),228
A663,0,0,2,2,hash,A65-A69,Other natural,A65-A69 (Other spirochaetal diseases),4
A666,0,0,1,1,hash,A65-A69,Other natural,A65-A69 (Other spirochaetal diseases),2
A689,0,0,1,1,hash,A65-A69,Other natural,A65-A69 (Other spirochaetal diseases),2
A690,1,0,2,3,hash,A65-A69,Other natural,A65-A69 (Other spirochaetal diseases),6
A691,4,4,14,14,hash,A65-A69,Other natural,A65-A69 (Other spirochaetal diseases),36
A692,245,81,1027,1209,hash,A65-A69,Other natural,A65-A69 (Other spirochaetal diseases),2562
A699,0,0,2,2,hash,A65-A69,Other natural,A65-A69 (Other spirochaetal diseases),4
A70,4,1,8,12,hash,A70-A74,Other natural,A70-A74 (Other diseases caused by chlamydiae),25
A710,0,0,1,1,hash,A70-A74,Other natural,A70-A74 (Other diseases caused by chlamydiae),2
A711,0,0,2,2,hash,A70-A74,Other natural,A70-A74 (Other diseases caused by chlamydiae),4
A719,1,1,9,9,hash,A70-A74,Other natural,A70-A74 (Other diseases caused by chlamydiae),20
A748,0,0,1,1,hash,A70-A74,Other natural,A70-A74 (Other diseases caused by chlamydiae),2
A749,9,1,14,23,hash,A70-A74,Other natural,A70-A74 (Other diseases caused by chlamydiae),47
A750,0,0,1,1,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),2
A752,11,2,2,11,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),26
A753,0,0,1,1,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),2
A759,6,2,7,11,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),26
A770,109,40,50,121,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),320
A773,1,0,0,1,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),2
A778,232,67,89,260,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),648
A779,1,0,2,4,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),7
A78,29,7,48,70,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),154
A791,1,0,1,2,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),4
A798,2,1,3,4,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),10
A799,15,3,8,25,hash,A75-A79,Other natural,A75-A79 (Rickettsioses),51
A803,0,0,3,3,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),6
A809,0,0,8,8,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),16
A810,8087,5968,331,2524,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),16910
A8101,0,0,1,0,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),1
A811,25,12,7,20,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),64
A812,957,2007,827,1386,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),5177
A818,1,1,0,0,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),2
A819,279,174,26,209,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),688
A829,33,18,6,25,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),82
A830,5,2,2,5,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),14
A831,0,0,1,1,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),2
A832,43,24,9,28,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),104
A833,17,10,22,29,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),78
A834,1,0,1,2,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),4
A835,5,3,3,5,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),16
A838,11,7,3,7,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),28
A839,6,1,3,8,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),18
A848,18,6,5,17,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),46
A849,4,1,1,4,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),10
A850,14,10,1,5,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),30
A851,7,6,3,4,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),20
A852,1,1,0,0,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),2
A858,42,31,26,41,hash,A80-A89,Other natural,A80-A89 (Viral infections of the central nervous system),140
